TS,NDVI lowess MODIS,NDVI lowess S2,NDVI lowess L8,NDVI lowess NSRS_1,NDVI lowess NSRS_2,NDVI lowess NSRS_3,NDVI lowess NSRS_1_B,NDVI lowess NSRS_2_B,NDVI lowess NSRS_3_B,TEMP IMS,RAINFALL[mm] 121702 IMS,RAINFALL[mm] 121710 IMS
1586995200,,,,,0.6886607756467038,0.6471726879579349,,,,24.8,,
1587081600,,,,,0.6889067315514373,,,,,19.8,,
1587168000,0.6417669354007596,,0.645,,0.689133469240308,,,,,22.6,,
1587168000,0.6417669354007596,,0.644,,0.689133469240308,,,,,22.6,,
1587254400,,,,,0.6893393691666578,,,,,25.7,,
1587340800,0.6384951396270908,,,,0.6895235854596157,,,,,26.1,,
1587427200,,,,,0.689685915422531,,,,,24.2,,
1587513600,,,,,0.6898265776600088,,,,,28.2,,
1587600000,,,,,0.6899460506995244,,,,,23.8,,
1587686400,,,,,,,,,,25.9,0.6,0.1
1587772800,,,,,0.69012698995728,,,,,19.5,1.7,0.7
1587859200,,,,,,,,,,20.0,,
1587945600,0.6244467300176604,,,,,,,,,20.8,,
1588032000,,,,,,,,,,22.3,,
1588118400,,,,,,,,,,20.4,,
1588204800,,,,,,,,,,21.2,,
1588291200,,,,,,,,,,23.4,,
1588377600,,,,,,,,,,20.9,,
1588464000,,,,,,,,,,22.0,,
1588550400,0.5992672805019341,,0.603,,,,,,,22.7,0.4,0.5
1588550400,0.5992672805019341,,0.598,,,,,,,22.7,0.4,0.5
1588636800,,,,,,,,,,20.5,5.4,7.3
1588723200,,,,,,,,,,20.9,,
1588809600,,,,,,,,,,22.3,,
1588896000,,,,,,,,,,28.4,0.8,0.8
