DATE,GCC_RAW
"Aug 7, 2014",0.345
"Aug 8, 2014",0.343
"Aug 9, 2014",0.337
"Aug 10, 2014",0.355
"Aug 11, 2014",0.349
"Aug 12, 2014",0.345
"Aug 13, 2014",0.353
"Aug 14, 2014",0.344
"Aug 15, 2014",0.353
"Aug 16, 2014",0.345
"Aug 17, 2014",0.353
"Aug 18, 2014",0.347
"Aug 19, 2014",0.347
"Aug 20, 2014",0.351
"Aug 21, 2014",0.342
"Aug 22, 2014",0.352
"Aug 23, 2014",0.343
"Aug 24, 2014",0.35
"Aug 25, 2014",0.345
"Aug 26, 2014",0.353
"Aug 27, 2014",0.347
"Aug 28, 2014",0.346
"Aug 29, 2014",0.348
"Aug 30, 2014",0.347
"Aug 31, 2014",0.351
"Sep 1, 2014",0.344
"Sep 2, 2014",0.333
"Sep 3, 2014",0.35
"Sep 4, 2014",0.347
"Sep 5, 2014",0.355
"Sep 6, 2014",0.333
"Sep 7, 2014",0.339
"Sep 8, 2014",0.344
"Sep 9, 2014",0.354
"Sep 10, 2014",0.347
"Sep 11, 2014",0.341
"Sep 12, 2014",0.349
"Sep 13, 2014",0.344
"Sep 14, 2014",0.332
"Sep 15, 2014",0.327
"Sep 16, 2014",0.354
"Sep 17, 2014",0.347
"Sep 18, 2014",0.334
"Sep 19, 2014",0.336
"Sep 20, 2014",0.339
"Sep 21, 2014",0.334
"Sep 22, 2014",0.344
"Sep 23, 2014",0.351
"Sep 24, 2014",0.344
"Sep 25, 2014",0.34
"Sep 26, 2014",0.335
"Sep 27, 2014",0.353
"Sep 28, 2014",0.337
"Sep 29, 2014",0.332
"Sep 30, 2014",0.351
"Oct 1, 2014",0.347
"Oct 2, 2014",0.334
"Oct 3, 2014",0.344
"Oct 4, 2014",0.35
"Oct 5, 2014",0.35
"Oct 6, 2014",0.346
"Oct 7, 2014",0.354
"Oct 8, 2014",0.352
"Oct 9, 2014",0.35
"Oct 10, 2014",0.347
"Oct 11, 2014",0.349
"Oct 12, 2014",0.346
"Oct 13, 2014",0.353
"Oct 14, 2014",0.338
"Oct 15, 2014",0.346
"Oct 16, 2014",0.335
"Oct 17, 2014",0.348
"Oct 18, 2014",0.359
"Oct 19, 2014",0.333
"Oct 20, 2014",0.332
"Oct 21, 2014",0.35
"Oct 22, 2014",0.353
"Oct 23, 2014",0.36
"Oct 24, 2014",0.347
"Oct 25, 2014",0.361
"Oct 26, 2014",
"Oct 27, 2014",0.353
"Oct 28, 2014",0.348
"Oct 29, 2014",0.361
"Oct 30, 2014",0.338
"Oct 31, 2014",0.332
"Nov 1, 2014",0.334
"Nov 2, 2014",0.337
"Nov 3, 2014",0.335
"Nov 4, 2014",0.333
"Nov 5, 2014",0.333
"Nov 6, 2014",0.369
"Nov 7, 2014",0.362
"Nov 8, 2014",0.367
"Nov 9, 2014",0.358
"Nov 10, 2014",0.368
"Nov 11, 2014",
"Nov 12, 2014",0.353
"Nov 13, 2014",0.364
"Nov 14, 2014",0.328
"Nov 15, 2014",0.371
"Nov 16, 2014",0.33
"Nov 17, 2014",0.337
"Nov 18, 2014",0.369
"Nov 19, 2014",0.378
"Nov 20, 2014",0.373
"Nov 21, 2014",0.332
"Nov 22, 2014",0.333
"Nov 23, 2014",0.332
"Nov 24, 2014",0.335
"Nov 25, 2014",0.389
"Nov 26, 2014",0.334
"Nov 27, 2014",0.332
"Nov 28, 2014",0.364
"Nov 29, 2014",0.346
"Nov 30, 2014",0.389
"Dec 1, 2014",0.363
"Dec 2, 2014",0.379
"Dec 3, 2014",0.374
"Dec 4, 2014",0.386
"Dec 5, 2014",0.387
"Dec 6, 2014",0.381
"Dec 7, 2014",0.373
"Dec 8, 2014",0.399
"Dec 9, 2014",0.333
"Dec 10, 2014",0.397
"Dec 11, 2014",0.355
"Dec 12, 2014",0.335
"Dec 13, 2014",0.388
"Dec 14, 2014",0.329
"Dec 15, 2014",0.398
"Dec 16, 2014",0.389
"Dec 17, 2014",0.361
"Dec 18, 2014",0.337
"Dec 19, 2014",0.334
"Dec 20, 2014",0.386
"Dec 21, 2014",0.363
"Dec 22, 2014",0.332
"Dec 23, 2014",0.319
"Dec 24, 2014",0.445
"Dec 25, 2014",0.395
"Dec 26, 2014",0.402
"Dec 27, 2014",0.389
"Dec 28, 2014",0.369
"Dec 29, 2014",0.4
"Dec 30, 2014",0.386
"Dec 31, 2014",0.402
"Jan 1, 2015",0.337
"Jan 2, 2015",0.359
"Jan 3, 2015",0.383
"Jan 4, 2015",0.336
"Jan 5, 2015",0.365
"Jan 6, 2015",0.335
"Jan 7, 2015",0.33
"Jan 8, 2015",0.327
"Jan 9, 2015",0.332
"Jan 10, 2015",0.331
"Jan 11, 2015",0.336
"Jan 12, 2015",0.397
"Jan 13, 2015",0.396
"Jan 14, 2015",0.396
"Jan 15, 2015",0.327
"Jan 16, 2015",0.331
"Jan 17, 2015",0.328
"Jan 18, 2015",0.412
"Jan 19, 2015",0.349
"Jan 20, 2015",0.4
"Jan 21, 2015",0.393
"Jan 22, 2015",0.39
"Jan 23, 2015",0.39
"Jan 24, 2015",0.392
"Jan 25, 2015",0.342
"Jan 26, 2015",0.328
"Jan 27, 2015",0.341
"Jan 28, 2015",0.338
"Jan 29, 2015",0.4
"Jan 30, 2015",0.392
"Jan 31, 2015",0.386
"Feb 1, 2015",0.394
"Feb 2, 2015",0.389
"Feb 3, 2015",0.401
"Feb 4, 2015",0.339
"Feb 5, 2015",0.395
"Feb 6, 2015",0.343
"Feb 7, 2015",0.393
"Feb 8, 2015",0.333
"Feb 9, 2015",0.337
"Feb 10, 2015",0.395
"Feb 11, 2015",0.338
"Feb 12, 2015",0.376
"Feb 13, 2015",0.332
"Feb 14, 2015",0.381
"Feb 15, 2015",0.332
"Feb 16, 2015",0.331
"Feb 17, 2015",0.397
"Feb 18, 2015",0.333
"Feb 19, 2015",0.334
"Feb 20, 2015",0.331
"Feb 21, 2015",0.365
"Feb 22, 2015",0.396
"Feb 23, 2015",0.336
"Feb 24, 2015",0.335
"Feb 25, 2015",0.33
"Feb 26, 2015",0.406
"Feb 27, 2015",0.396
"Feb 28, 2015",0.35
"Mar 1, 2015",0.39
"Mar 2, 2015",0.34
"Mar 3, 2015",0.393
"Mar 4, 2015",0.334
"Mar 5, 2015",0.398
"Mar 6, 2015",0.403
"Mar 7, 2015",0.398
"Mar 8, 2015",0.382
"Mar 9, 2015",0.399
"Mar 10, 2015",0.382
"Mar 11, 2015",0.359
"Mar 12, 2015",0.335
"Mar 13, 2015",0.342
"Mar 14, 2015",0.398
"Mar 15, 2015",0.338
"Mar 16, 2015",0.341
"Mar 17, 2015",0.347
"Mar 18, 2015",0.4
"Mar 19, 2015",0.337
"Mar 20, 2015",0.334
"Mar 21, 2015",0.471
"Mar 22, 2015",0.333
"Mar 23, 2015",0.394
"Mar 24, 2015",0.389
"Mar 25, 2015",0.346
"Mar 26, 2015",0.388
"Mar 27, 2015",0.335
"Mar 28, 2015",0.339
"Mar 29, 2015",0.331
"Mar 30, 2015",0.354
"Mar 31, 2015",0.34
"Apr 1, 2015",0.337
"Apr 2, 2015",0.388
"Apr 3, 2015",0.344
"Apr 4, 2015",0.355
"Apr 5, 2015",0.38
"Apr 6, 2015",0.384
"Apr 7, 2015",0.378
"Apr 8, 2015",0.383
"Apr 9, 2015",0.334
"Apr 10, 2015",0.333
"Apr 11, 2015",0.334
"Apr 12, 2015",0.331
"Apr 13, 2015",0.374
"Apr 14, 2015",0.383
"Apr 15, 2015",0.385
"Apr 16, 2015",0.333
"Apr 17, 2015",0.383
"Apr 18, 2015",0.381
"Apr 19, 2015",0.387
"Apr 20, 2015",0.378
"Apr 21, 2015",0.376
"Apr 22, 2015",0.362
"Apr 23, 2015",0.327
"Apr 24, 2015",0.353
"Apr 25, 2015",0.378
"Apr 26, 2015",0.386
"Apr 27, 2015",0.376
"Apr 28, 2015",0.38
"Apr 29, 2015",0.374
"Apr 30, 2015",0.377
"May 1, 2015",0.376
"May 2, 2015",0.376
